category_type,asin,title,imgUrl,productURL,stars,reviews,price,listPrice,category_id,isBestSeller,boughtInLastMonth
Others,B0BGSDTZVF,iPhone Charger 3 Pack 10 ft Apple MFi Certified Lightning Nylon Braided Cable Fast Charging Cord Compatible with iPhone 13 12 11 Pro Max XR XS X 8 7 6 Plus SE iPad and More,https://m.media-amazon.com/images/I/71hnUhUJJVL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BGSDTZVF,4.3,0,9.99,16.99,76,false,0
Others,B0C9J8P1QS,6Pack(3/3/6/6/6/9 FT) Original [Apple MFi Certified] iPhone Charger Fast Charging Lightning Cable iPhone Charger Cord Compatible iPhone 14/13/12/11 Pro Max/XS MAX/XR/XS/X/8/7 Plus iPad AirPods,https://m.media-amazon.com/images/I/61j-fPM7bJL._AC_UL320_.jpg,https://www.amazon.com/dp/B0C9J8P1QS,4.5,0,8.99,11.99,76,false,0
Others,B09D7NN6YZ,[Apple MFi Certified] 6Pack 3/3/6/6/6/10 FT iPhone Charger Nylon Braided Fast Charging Lightning Cable Compatible iPhone 14 Pro 13 mini 12 11 Pro XS,https://m.media-amazon.com/images/I/81km6VdyE2L._AC_UL320_.jpg,https://www.amazon.com/dp/B09D7NN6YZ,4.4,0,11.99,25.99,76,false,0
Others,B09Q52CXX1,"Anker USB C Charger (GaN II 100W), 3 Port Fast Compact Wall Charger for MacBook Pro, MacBook Air, Google Pixelbook, ThinkPad, Dell XPS, iPad Pro, Galaxy S22/S20, iPhone 15/Pro, and More",https://m.media-amazon.com/images/I/51snPhfZHeL._AC_UL320_.jpg,https://www.amazon.com/dp/B09Q52CXX1,4.7,0,59.99,74.99,76,false,0
Others,B00L1G7K50,"HP 62 Black Ink Cartridge | Works with HP ENVY 5540, 5640, 5660, 7640 Series, HP OfficeJet 5740, 8040 Series, HP OfficeJet Mobile 200, 250 Series | Eligible for Instant Ink | C2P04AN",https://m.media-amazon.com/images/I/61ZTbd28aGL._AC_UL320_.jpg,https://www.amazon.com/dp/B00L1G7K50,4.7,0,0,0,76,false,10000
Others,B003YT6RNS,"HP 61 Black/Tri-color Ink (2 Count - pack) | Works with DeskJet 1000, 1010, 1050, 1510, 2050, 2510, 2540, 3000, 3050, 3510; ENVY 4500, 5530; OfficeJet 2620, 4630 | Eligible for Instant Ink | CR259FN",https://m.media-amazon.com/images/I/71J-HVoOfhS._AC_UL320_.jpg,https://www.amazon.com/dp/B003YT6RNS,4.7,0,51.89,0,76,false,8000
Others,B08BS29VG4,"Amazon Basics HDMI Cable, 48Gbps High-Speed, 8K@60Hz, 4K@120Hz, Gold-Plated Plugs, Ethernet Ready, 6 Foot, Black",https://m.media-amazon.com/images/I/61VLH8-6A3L._AC_UL320_.jpg,https://www.amazon.com/dp/B08BS29VG4,4.7,0,9.51,0,76,false,0
Others,B08P25VBY1,"iPhone Charger Fast Charging,[Apple MFi Certified] 2Pack 20W Type C Fast Charger Block with 6FT USB C to Ligthning Charger Cable Compatible for iPhone 14/13/12/11 Pro Max/Xs/XR/X/iPad/AirPods Pro",https://m.media-amazon.com/images/I/61nKJ+3s3XL._AC_UL320_.jpg,https://www.amazon.com/dp/B08P25VBY1,4.6,0,19.99,29.99,76,false,0
Others,B07R18QWHN,"HP 414A Cyan Toner Cartridge | Works with HP Color LaserJet Enterprise M455dn, MFP M480f; HP Color LaserJet Pro M454 Series, HP Color LaserJet Pro MFP M479 Series | W2021A",https://m.media-amazon.com/images/I/7158wnRAFnL._AC_UL320_.jpg,https://www.amazon.com/dp/B07R18QWHN,4.8,0,0,0,76,false,4000
Others,B076FPGWNZ,"USB-C to USB A Cable 3.1A Fast Charging [2-Pack 6.6ft], JSAUX USB Type C Charger Cord Compatible with Samsung Galaxy S20 S10 S9 S8 A51 A13, Note 20 10, LG G8 G7, iPhone 15/15 Pro Max USB C Charger-Red",https://m.media-amazon.com/images/I/814lvrcxv4L._AC_UL320_.jpg,https://www.amazon.com/dp/B076FPGWNZ,4.7,0,8.99,10.99,76,false,0
